"Unnamed: 0","Sector","Course Name","Duration","Minimum Education","Language","Module","TopicName","URL"
4386,"Accounting","Risk Assessment & Internal Control | Principles & Practice of Auditing","24hrs 13min","12th","English/Hindi","Module 1: Introduction to Internal Control","Internal Control and Characteristics | Part 1 | Principles & Practice of Auditing","https://www.youtube.com/watch?v=YCzz3PXt2aU"
4387,"Accounting","Risk Assessment & Internal Control | Principles & Practice of Auditing","","12th","English/Hindi","Module 1: Introduction to Internal Control","Objectives & Principles of Internal Control | Part 2 | Principle & Practice of auditing","https://www.youtube.com/watch?v=6PIQkYw7pQk"
4388,"Accounting","Risk Assessment & Internal Control | Principles & Practice of Auditing","","12th","English/Hindi","Module 1: Introduction to Internal Control","Advantages & Disadvantages & Duties of auditor in Internal Control | Part 3 | PPA","https://www.youtube.com/watch?v=hNE8QH4CoM8"
4389,"Accounting","Risk Assessment & Internal Control | Principles & Practice of Auditing","","12th","English/Hindi","Module 2: Objectives and Principles of Internal Control","Meaning, Definition, Objectives & Principles of Internal Check | Part 4 | PPA","https://www.youtube.com/watch?v=IE6FicM2tPY"
4390,"Accounting","Risk Assessment & Internal Control | Principles & Practice of Auditing","","12th","English/Hindi","Module 2: Objectives and Principles of Internal Control","Advantages & disadvantages of Internal Check | Part 5 | PPA","https://www.youtube.com/watch?v=fDXLISh4a8c"
4391,"Accounting","Risk Assessment & Internal Control | Principles & Practice of Auditing","","12th","English/Hindi","Module 3: Internal Check and Its Applications","INTERNAL CHECK AS REGARDS CASH SALES | Part 6 | PPA","https://www.youtube.com/watch?v=jOI0efPfjBA"
4392,"Accounting","Risk Assessment & Internal Control | Principles & Practice of Auditing","","12th","English/Hindi","Module 3: Internal Check and Its Applications","Internal Check as regards to Counter sales, Credit Sales & Sales Return | Part 7 | PPA","https://www.youtube.com/watch?v=KrinNm2iFm8"
4393,"Accounting","Risk Assessment & Internal Control | Principles & Practice of Auditing","","12th","English/Hindi","Module 3: Internal Check and Its Applications","Internal Check as regards to Cash Purchases, Credit Purchases & Purchase Return | Part 8 | PPA","https://www.youtube.com/watch?v=TPi9C2L2zCg"
4394,"Accounting","Risk Assessment & Internal Control | Principles & Practice of Auditing","","12th","English/Hindi","Module 4: Internal Control vs. Internal Check","Internal Check as regards to Wage Payment | Part 9 | PPA","https://www.youtube.com/watch?v=paVUcyl4ISo"
4395,"Accounting","Risk Assessment & Internal Control | Principles & Practice of Auditing","","12th","English/Hindi","Module 4: Internal Control vs. Internal Check","Difference between Internal Control & Internal Check | Part 10 | PPA","https://www.youtube.com/watch?v=4O0igCj2l80"
4396,"Accounting","Risk Assessment & Internal Control | Principles & Practice of Auditing","","12th","English/Hindi","Module 5: Audit Risk and Assessment","Audit Risk & Risk Assessment | Part 11 | Principles & Practice of Auditing","https://www.youtube.com/watch?v=VDUw0TAHc-w"
